time,addr,bus,data
1107.556135,1200,0,0000000000400080
1107.556381,1201,0,0237be680000005f
1107.557385,688,0,ec0d0007b3
1107.557567,357,0,000880000000028a
1107.558457,1087,0,004060ff6dcc0900
1107.5586950000002,790,0,051b210a1d170080
1107.558925,809,0,0bb37f0c11240021
1107.5591590000001,1088,0,ff000004ffffff00
1107.559403,880,0,0020038800000002
1107.559647,1349,0,dc19008c41000000
1107.5598850000001,672,0,8000471f5d002e00
1107.560125,608,0,0c1c1d30ffff7829
1107.560363,399,0,fe1b000000410010
1107.5606050000001,898,0,00fe0f00aa0046e8
1107.5649210000001,544,0,da13fa230000ff0f
1107.565157,339,0,200010ff00ff507e
1107.565397,356,0,000800000000030b
1107.5656470000001,497,0,0000000000000000
1107.566735,790,0,051b210a1c180080
1107.566969,809,0,0bb37f0c11240021
1107.567203,1349,0,dc19008d40000000
1107.5674430000001,357,0,000880000000038b
1107.567685,672,0,2000471f5d002e00
1107.567925,608,0,0c1c1d30ffff7838
1107.5681650000001,688,0,ea0d0107b4
1107.5683490000001,900,0,0000000000008d00
1107.5685970000002,399,0,fe1b000000410010
1107.568839,160,0,2d7f210a001c0200
1107.569077,161,0,828981801c350100
1107.569311,1087,0,004060ff6dcb0900
1107.569547,1088,0,ff000004ffffff00
1107.5697910000001,880,0,0020038800000002
1107.570035,1264,0,4000288000055c08
1107.570275,1266,0,810070a0055c0894
1107.5742870000001,790,0,051b210a1c180080
1107.574521,809,0,0bb37f0c11240021
1107.574755,1349,0,dc19008c40000000
1107.5749930000002,339,0,200010ff00ff608e
1107.575233,356,0,000800000000040c
1107.575485,544,0,dc1bf9230000ff0f
1107.5757230000002,672,0,4000471f5d002e00
1107.575963,608,0,0c1c1d30ffff780b
1107.576201,399,0,fe1b000000410010
1107.5764430000002,848,0,0528b44a4c00009f
1107.576677,898,0,00fe0f00aa0046ac
1107.576921,1072,0,0040000000000c00
1107.5771690000001,1200,0,0040000000400080
1107.577415,357,0,000880000000048c
1107.577659,688,0,ec0d0007d5
1107.577843,1201,0,0237be680000005f
1107.578563,1087,0,004060ff6dc80900
1107.578803,1088,0,ff000004ffffff00
1107.5790470000002,880,0,0020038800000002
1107.582555,790,0,051b2e0a1c170080
1107.582787,809,0,0bb37f0c11240021
1107.5830210000001,1349,0,dc19008c3f000000
1107.583261,672,0,e000471f5d002e00
1107.583497,608,0,0c1c1d30ffff781a
1107.5837350000002,399,0,fe1b000000410010
1107.5849150000001,544,0,da23f9230000ff0f
1107.585149,339,0,200010ff00ff709e
1107.585385,356,0,000800000000050d
1107.5856330000001,497,0,0000000000000000
1107.5873410000002,1508,0,000000
1107.587495,357,0,000880000000058d
1107.587737,688,0,ea0d010796
1107.5884250000001,1087,0,004060ff6dc70900
1107.588661,24,0,2000016001002400
1107.588911,1088,0,ff000004ffffff00
1107.5891550000001,80,0,00030000
1107.5893290000001,880,0,0020038800000002
1107.589573,272,0,a0243009621a000c
1107.589805,1264,0,40002a8000055c08
1107.5900490000001,288,0,00000000
1107.5902230000002,790,0,051b2e0a1c170080
1107.590455,809,0,0bb37f0c11240021
1107.590689,1265,0,102f900000000054
1107.5909310000002,1266,0,810070a0055c0895
1107.591163,1296,0,8000000000000000
1107.591413,1331,0,ff1f1fffffffff00
1107.5916570000002,1312,0,0000000000000000
1107.591909,1332,0,ffffffffff0f0f00
1107.592159,1333,0,07ffffffffffffff
1107.592405,1349,0,dc19008c3f000000
1107.5926450000002,672,0,8000471f5d002e00
1107.592885,608,0,0c1c1d30ffff7829
1107.593123,399,0,fe1b000000410010
1107.5933650000002,898,0,00fe0f00aa004660
1107.593607,1369,0,0000008000000040
1107.593873,1680,0,03000100a0001d00
1107.594933,544,0,e12bf9330000ff0f
1107.5951690000002,339,0,200010ff00ff80ae
1107.595407,356,0,000800000000060e
1107.595657,848,0,0528c44a4c0000ef
1107.5958910000002,1072,0,0060000000000a00
1107.596141,1200,0,0080000000400080
1107.596387,1201,0,0237be680000005f
1107.5966250000001,1419,0,1100040000000000
1107.597361,688,0,ec0d0007f7
1107.597549,357,0,000880000000068e
1107.5977930000001,790,0,051b2e0a1c170080
1107.598025,809,0,0bb37f0c11240021
1107.598259,1349,0,dc19008c41000000
1107.5984970000002,672,0,2000471f5d002e00
1107.598737,608,0,0c1c1c30ffff7839
1107.598977,399,0,fe1b000000410010
1107.5992190000002,1087,0,004060ff6dc90900
1107.599455,1088,0,ff000004ffffff00
1107.599699,880,0,0020038800000002
1107.6049110000001,544,0,e233f9330000ff0f
1107.605147,339,0,200010ff00ff90be
1107.605387,356,0,000800000000070f
1107.6056370000001,497,0,0000000000000000
1107.6058870000002,790,0,051b2e0a1c170080
1107.606119,809,0,40b37f0c11240021
1107.6063510000001,1349,0,dc19008c41000000
1107.606589,672,0,4000471f5d002e00
1107.606829,608,0,0c1c1c30ffff780c
1107.6070670000001,399,0,fe1b000000410010
1107.607309,898,0,00fe0f00aa004624
1107.607549,357,0,000880000000078f
1107.6077910000001,688,0,ec0d000708
1107.6085150000001,1087,0,004060ff6dca0900
1107.608753,1088,0,ff000004ffffff00
1107.608997,880,0,0020038800000002
1107.609241,1264,0,40002c8000055c08
1107.609481,1266,0,810070a0055c0896
1107.611543,704,0,11
1107.613315,790,0,051b350a1c170080
1107.6135470000002,809,0,40b37f0c11240021
1107.613779,1349,0,dc1a008c41000000
1107.614015,672,0,e000471f5d002e00
1107.614251,608,0,0c1c1c30ffff781b
1107.614489,399,0,fe1b000000410010
1107.614935,544,0,e13bf90300200510
1107.6151710000001,339,0,200010ff00ffa0ce
1107.615411,356,0,0008000000000800
1107.615659,848,0,0528d44a4c0000ff
1107.6158950000001,1072,0,0080000000000800
1107.616143,1200,0,00c0000000400080
1107.616391,1201,0,0237be680000005f
1107.617365,688,0,ec0d000719
1107.617547,357,0,0008800000000880
1107.618429,1087,0,004060ff6dcc0900
1107.618667,1088,0,ff000004ffffff00
1107.618911,880,0,0020038800000002
1107.6211230000001,790,0,051b350a1c170080
1107.621355,809,0,40b37f0c11240021
1107.621587,1349,0,dc1a008c41000000
1107.6218230000002,672,0,8000471f5d002e00
1107.622063,608,0,0c1c1c30ffff782a
1107.622303,399,0,fe1b000000410010
1107.6225450000002,898,0,00fe0f00aa0046e8
1107.622787,1415,0,000000000000000b
1107.6249030000001,544,0,dd03f91b0010ff0f
1107.625141,339,0,200010ff00ffb0de
1107.625379,356,0,0008000000000901
1107.6256250000001,497,0,0000000000000000
1107.6273150000002,688,0,ec0d00072a
1107.6274970000002,357,0,0008800000000981
1107.6284010000002,1087,0,004060ff6dcc0900
1107.628639,1088,0,ff000004ffffff00
1107.628883,880,0,0020038800000002
1107.6291270000002,790,0,051b350a1c170080
1107.629359,809,0,40b37f0c11240021
1107.6295910000001,1264,0,40002e8000055c08
1107.629831,1266,0,810080a0055c0897
1107.630067,1349,0,dc1a008d41000000
1107.6303050000001,672,0,2000471f5d002e00
1107.630545,608,0,0c1c1c30ffff7839
1107.630785,399,0,fe1b000000410010
1107.634729,848,0,0528e44a4c0000cf
1107.634963,339,0,200010ff00ffc0ee
1107.635205,356,0,0008000000000a02
1107.635451,544,0,df0bf90b0010ff0f
1107.635689,1072,0,00a0000000000600
1107.635937,1200,0,0000004000400080
1107.636185,1201,0,0237be680000005f
1107.636741,790,0,051b350a1c170080
1107.6369730000001,809,0,40b37f0c11240021
1107.637205,1349,0,dc1a008c41000000
1107.637441,357,0,0008800000000a82
1107.6376870000001,672,0,4000471f5d002e00
1107.637927,608,0,0c1c1c30ffff780c
1107.638165,399,0,fe1b000000410010
1107.6384070000001,688,0,e90d00076b
1107.6385870000001,898,0,00fe0f00aa0046ac
1107.638831,1087,0,004060ff6dd10900
1107.639069,1088,0,ff000004ffffff00
1107.6393130000001,880,0,0020038800000002
1107.644569,790,0,051b2e0a1c170080
1107.6448010000001,809,0,40b37f0c11240021
1107.645033,339,0,200010ff00ffd0fe
1107.645277,356,0,0008000000000b03
1107.6455250000001,497,0,0000000000000000
1107.645775,544,0,df13fd0b00300510
1107.646011,1349,0,dc19008c41000000
1107.6462490000001,672,0,e000471f5d002e00
1107.646485,608,0,0c1c1c30ffff781b
1107.646723,399,0,fe1b000000410010
1107.647377,688,0,ec0d00074c
1107.647559,357,0,0008800000000b83
1107.648453,1087,0,004060ff6dd40900
1107.648691,1088,0,ff000004ffffff00
1107.6489350000002,880,0,0020038800000002
1107.649179,1264,0,4000308000055c08
1107.649419,1266,0,810080a0055c0898
1107.652437,790,0,051b2e0a1c170080
1107.652669,809,0,40b37f0c11240021
1107.6529010000002,1349,0,dc19008c41000000
1107.653139,672,0,8000471f5d002e00
1107.653379,608,0,0c1c1c30ffff782a
1107.6536190000002,399,0,fe1b000000410010
1107.653861,898,0,00fe0f00aa004660
1107.654691,848,0,0528f44a4c0000df
1107.654927,339,0,200010ff00ffe00e
1107.6551670000001,356,0,0008000000000c04
1107.6554130000002,544,0,df1bf91b00300510
1107.655651,1072,0,00c0000000000400
1107.655899,1200,0,0040004000400080
1107.6561450000002,1201,0,0237be680000005f
1107.657365,688,0,ec0d00075d
1107.657547,357,0,0008800000000c84
1107.658443,1087,0,004060ff6dd80900
1107.6586810000001,1088,0,ff000004ffffff00
1107.6589250000002,880,0,0020038800000002
1107.6602770000002,790,0,051b2e0a1c170080
1107.660509,809,0,40b37f0c11240021
1107.6607410000001,1349,0,dc19008d41000000
1107.660977,672,0,2000471f5d002e00
1107.661217,608,0,0c1c1c30ffff763b
1107.6614530000002,399,0,fe1b000000410010
1107.6648930000001,544,0,df23f82b00200510
1107.665137,339,0,200010ff00ff002e
1107.665377,356,0,0008000000000d05
1107.665625,497,0,0000000000000000
1107.6673230000001,688,0,ec0d00076e
1107.6675070000001,357,0,0008800000000d85
1107.667999,790,0,051b2e0a1c170080
1107.668231,809,0,40b37f0c11240021
1107.668463,1087,0,004060ff6dd90900
1107.668701,1088,0,ff000004ffffff00
1107.6689450000001,880,0,0020038800000002
1107.669189,1264,0,4000328000055c08
1107.669429,1266,0,810080a0055c0899
1107.6696650000001,1349,0,dc19008c41000000
1107.669903,672,0,4000471f5d002e00
1107.670143,608,0,0c1c1c30ffff760e
1107.6703810000001,900,0,0000000000008d00
1107.670629,399,0,fe1b000000410010
1107.670871,160,0,2e7f2e0a001c0200
1107.6711090000001,161,0,828981801c350100
1107.671343,898,0,00fe0f00aa004624
1107.6746210000001,848,0,0528044a4c00002f
1107.674905,544,0,dc2bf83b0000ff0f
1107.6751430000002,339,0,200010ff00ff103e
1107.8674090000002,356,0,0008000000000e06
1107.8676550000002,1072,0,00e0000000000200
1107.867901,790,0,051b2b0a1c170080
1107.8681310000002,809,0,40b37f0c11240021
1107.868363,1200,0,0080004000400080
1107.868609,1201,0,0237be680000005f
1107.8688470000002,1349,0,dc19008c40000000
1107.869085,672,0,e000471f5d002e00
1107.8693210000001,608,0,0c1c1c30ffff761d
1107.8695570000002,357,0,0008800000000e86
1107.869801,399,0,fe1b000000410010
1107.8700430000001,688,0,ec0d00077f
1107.8705290000003,1087,0,004060ff6dda0900
1107.8707670000001,1088,0,ff000004ffffff00
1107.8710110000002,880,0,0020038800000002
1107.8756250000001,790,0,051b2b0a1c170080
1107.8758550000002,809,0,40b37f0c11240021
1107.876087,1349,0,dc19008d40000000
1107.8763270000002,672,0,8000471f5d002e00
1107.8765670000003,608,0,0c1c1c30ffff762c
1107.876803,399,0,fe1b000000410010
1107.8770450000002,339,0,200010ff00ff204e
1107.8772850000003,356,0,0008000000000f07
1107.877533,497,0,0000000000000000
1107.8777830000001,544,0,dd33fd0b0010ff0f
1107.8780170000002,898,0,00fe0f00aa0046e8
1107.8793870000002,1508,0,000000
1107.8795410000002,357,0,0008800000000f87
1107.879789,688,0,ec0d000780
1107.8803990000001,1087,0,004060ff6dda0900
1107.8806370000002,272,0,a0243009621a000c
1107.880869,1088,0,ff000004ffffff00
1107.8811130000001,880,0,0020038800000002
1107.8813570000002,1264,0,4000348000055c08
1107.881601,1265,0,102f900000000054
1107.8818430000001,1266,0,810080a0055c089a
1107.8820790000002,1296,0,8000000000000000
1107.8823290000003,1306,0,0000000000000000
1107.882579,1322,0,0000000004000000
1107.8828270000001,1331,0,ff1f1fffffffff00
1107.8830710000002,1332,0,ffffffffff0f0f00
1107.8833210000003,1333,0,07ffffffffffffff
1107.883567,790,0,051b2b0a1c170080
1107.8837970000002,809,0,85b37f0c11240021
1107.884029,1348,0,0040000000000000
1107.884279,1349,0,dc19008d41000000
1107.8845150000002,672,0,2000471f5d002e00
1107.884755,608,0,0c1c1c30ffff763b
1107.8849910000001,399,0,fe1b000000410010
1107.8852330000002,1680,0,03000100a0002100
1107.886805,848,0,0528144a4c00003f
1107.8870450000002,339,0,200010ff00ff305e
1107.8872850000002,356,0,0008000000000008
1107.887533,544,0,e13bf93b0000ff0f
1107.8877670000002,1072,0,0000000000000000
1107.8880210000002,1200,0,00c0004000400080
1107.888267,1201,0,0237be680000005f
1107.8885050000001,1419,0,1100040000000000
1107.8893810000002,688,0,ec0d000791
1107.8895650000002,357,0,0008800000000088
1107.890417,1087,0,004060ff6ddf0900
1107.8906590000001,1088,0,ff000004ffffff00
1107.8909030000002,880,0,0020038800000002
1107.8912830000002,790,0,051b2b0a1c170080
1107.8915130000003,809,0,85b37f0c11240021
1107.8917450000001,1349,0,dc19008c41000000
1107.8919830000002,672,0,4000471f5d002e00
1107.892223,608,0,0c1c1c30ffff760e
1107.8924610000001,399,0,fe1b000000410010
1107.8927030000002,898,0,00fe0f00aa0046ac
1107.896907,544,0,e103fa330000ff0f
1107.8971450000001,339,0,200010ff00ff406e
1107.8973830000002,356,0,0008000000000109
1107.897631,497,0,0000000000000000
1107.8990450000001,790,0,051b2b0a1c170080
1107.8992750000002,809,0,85b37f0c11240021
1107.899507,357,0,0008800000000189
1107.8997490000002,688,0,ec0d0007a2
1107.8999310000002,1349,0,dc19008c41000000
1107.9001690000002,672,0,e000471f5d002e00
1107.900405,608,0,0c1c1c30ffff751e
1107.9006410000002,399,0,fe1b000000410010
1107.9008830000002,1087,0,004060ff6de20900
1107.901123,1088,0,ff000004ffffff00
1107.9013670000002,880,0,0020038800000002
1107.9016110000002,1264,0,4000368000055c08
1107.901851,1266,0,810080a0055c089b
1107.903549,704,0,11
1107.9064670000002,848,0,0528244a4c00000f
1107.9068550000002,790,0,051b2b0a1c170080
1107.907085,339,0,200010ff00ff507e
1107.9073250000001,356,0,000800000000020a
1107.9075730000002,544,0,df0bf8130010ff0f
